var,estimate,lower,upper,risk.bas,xlabel
p_new_ctz,0.051267893,0.00373134,0.2162406,0.01,NA
p_new_ctz,0.078599638,0.009940105,0.267448117,0.02,High baseline risk patients
p_new_ctz,0.102208119,0.017583032,0.304397179,0.03,NA
p_new_ctz,0.123681332,0.026123521,0.333938108,0.04,NA
p_new_ctz,0.143672895,0.035444761,0.35959683,0.05,NA
p_new_ctz,0.162534749,0.045334288,0.381163636,0.06,NA
p_new_ctz,0.180484911,0.055517735,0.400546563,0.07,NA
p_new_ctz,0.197670811,0.066331375,0.419171628,0.08,NA
p_new_ctz,0.214198348,0.077221514,0.436568307,0.09,NA
p_new_ctz,0.230147027,0.088273153,0.452676964,0.1,NA
p_new_ctz,0.245578591,0.099114972,0.468335614,0.11,NA
p_new_ctz,0.260542292,0.109833852,0.484663989,0.12,NA
p_new_ctz,0.275078283,0.121007029,0.4987455,0.13,NA
p_new_ctz,0.289219903,0.131804441,0.512641894,0.14,NA
p_new_ctz,0.302995263,0.142487541,0.526435852,0.15,NA
p_new_ctz,0.316428386,0.153197573,0.540329229,0.16,NA
p_new_ctz,0.329540046,0.163826082,0.553353273,0.17,NA
p_new_ctz,0.342348399,0.174105854,0.566347525,0.18,NA
p_new_ctz,0.354869465,0.184328199,0.577857602,0.19,NA
p_new_ctz,0.367117502,0.194283855,0.590079016,0.2,NA
p_new_ctz,0.379105307,0.204185807,0.602135138,0.21,NA
p_new_ctz,0.390844452,0.213874301,0.614006965,0.22,NA
p_new_ctz,0.402345474,0.223096333,0.624915449,0.23,NA
p_new_ctz,0.413618037,0.232120561,0.635879379,0.24,NA
p_new_ctz,0.42467106,0.241085604,0.646170701,0.25,NA
p_new_ctz,0.435512825,0.249625301,0.656298395,0.26,NA
p_new_ctz,0.446151065,0.25799299,0.666453286,0.27,NA
p_new_ctz,0.456593039,0.266327125,0.676705625,0.28,NA
p_new_ctz,0.466845595,0.274478923,0.687231895,0.29,NA
p_new_ctz,0.47691522,0.282690987,0.696961798,0.3,NA
p_new_ctz,0.486808081,0.29055424,0.706437647,0.31,NA
p_new_ctz,0.496530063,0.298604158,0.715804527,0.32,NA
p_new_ctz,0.506086798,0.306152006,0.72487033,0.33,NA
p_new_ctz,0.515483687,0.313425086,0.733679793,0.34,NA
p_new_ctz,0.524725925,0.320508261,0.742287249,0.35,NA
p_new_ctz,0.533818512,0.327545358,0.750837429,0.36,NA
p_new_ctz,0.542766274,0.334493195,0.758775471,0.37,NA
p_new_ctz,0.551573875,0.341816574,0.767139726,0.38,NA
p_new_ctz,0.560245823,0.348334407,0.774869212,0.39,NA
p_new_ctz,0.568786485,0.355134921,0.782842168,0.4,NA
p_new_ctz,0.577200091,0.361617549,0.790407289,0.41,NA
p_new_ctz,0.585490748,0.368294853,0.797863044,0.42,NA
p_new_ctz,0.593662439,0.374568562,0.80519719,0.43,NA
p_new_ctz,0.601719034,0.380371136,0.812398394,0.44,NA
p_new_ctz,0.609664298,0.386463324,0.819440123,0.45,NA
p_new_ctz,0.61750189,0.392055641,0.826635528,0.46,NA
p_new_ctz,0.625235375,0.397858998,0.833418251,0.47,NA
p_new_ctz,0.632868225,0.403572247,0.83979895,0.48,NA
p_new_ctz,0.640403826,0.409368394,0.845989243,0.49,NA
p_new_ctz,0.647845482,0.415118227,0.852047531,0.5,NA
p_new_ctz,0.655196421,0.420888248,0.857831985,0.51,NA
p_new_ctz,0.662459798,0.426914952,0.863775259,0.52,NA
p_new_ctz,0.669638702,0.432424944,0.869485669,0.53,NA
p_new_ctz,0.67673616,0.437960607,0.875010602,0.54,NA
p_new_ctz,0.683755142,0.443385449,0.880294217,0.55,NA
p_new_ctz,0.690698566,0.449469325,0.885446379,0.56,NA
p_new_ctz,0.697569301,0.454891914,0.890517202,0.57,NA
p_new_ctz,0.704370177,0.460143248,0.89521724,0.58,NA
p_new_ctz,0.711103986,0.465135606,0.899883138,0.59,NA
p_new_ctz,0.717773489,0.470287868,0.904409052,0.6,NA
p_new_ctz,0.724381423,0.475351884,0.908898895,0.61,NA
p_new_ctz,0.730930504,0.48057308,0.913156391,0.62,NA
p_new_ctz,0.737423439,0.486269225,0.917406041,0.63,NA
p_new_ctz,0.743862926,0.492255315,0.921467266,0.64,NA
p_new_ctz,0.750251665,0.497226406,0.92548046,0.65,NA
p_new_ctz,0.756592368,0.502817579,0.929184722,0.66,NA
p_new_ctz,0.762887763,0.507904712,0.932855673,0.67,NA
p_new_ctz,0.769140605,0.512967012,0.93630649,0.68,NA
p_new_ctz,0.775353688,0.518690314,0.939749573,0.69,NA
p_new_ctz,0.781529856,0.524249911,0.943170745,0.7,NA
p_new_ctz,0.787672015,0.529807632,0.946457521,0.71,NA
p_new_ctz,0.793783145,0.535557508,0.949604616,0.72,NA
p_new_ctz,0.799866325,0.541080229,0.952691739,0.73,NA
p_new_ctz,0.80592474,0.546409622,0.955553001,0.74,NA
p_new_ctz,0.811961714,0.55186534,0.958384085,0.75,NA
p_new_ctz,0.81798073,0.557957322,0.961171595,0.76,NA
p_new_ctz,0.823985459,0.563821118,0.963820517,0.77,NA
p_new_ctz,0.829979798,0.570294631,0.96637871,0.78,NA
p_new_ctz,0.835967913,0.576780483,0.968962705,0.79,NA
p_new_ctz,0.841954286,0.583093061,0.971362588,0.8,NA
p_new_ctz,0.847943784,0.589219857,0.97373787,0.81,NA
p_new_ctz,0.853941729,0.595801387,0.975984238,0.82,NA
p_new_ctz,0.859953996,0.602464933,0.978079183,0.83,NA
p_new_ctz,0.865987137,0.610028164,0.980101862,0.84,NA
p_new_ctz,0.872048528,0.61763929,0.981997935,0.85,NA
p_new_ctz,0.878146578,0.625257356,0.983847789,0.86,NA
p_new_ctz,0.884290985,0.633331412,0.985563152,0.87,NA
p_new_ctz,0.890493101,0.641614491,0.987244169,0.88,NA
p_new_ctz,0.896766415,0.650467058,0.988856378,0.89,NA
p_new_ctz,0.903127256,0.660256303,0.990368295,0.9,NA
p_new_ctz,0.909595797,0.670829291,0.991791259,0.91,NA
p_new_ctz,0.916197591,0.68151376,0.993129436,0.92,NA
p_new_ctz,0.922965976,0.693908813,0.99437179,0.93,NA
p_new_ctz,0.929946092,0.706884051,0.995522192,0.94,NA
p_new_ctz,0.937202049,0.722023678,0.996584795,0.95,NA
p_new_ctz,0.944830949,0.739343505,0.997540184,0.96,NA
p_new_ctz,0.952994129,0.759644711,0.998392489,0.97,NA
p_new_ctz,0.962002081,0.786126883,0.999108083,0.98,NA
